,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AF123462.1,141.58019306044318,-1.0519756896675425,0.4178722734561715,-2.517457501946175,0.011820522874052794,0.8848987717149318
NINL,25.402194745055713,0.8916126732016179,0.34993935630345385,2.5479062504431367,0.010837158998835358,0.8848987717149318
EGR1,25.53933055487115,-3.6038387928846047,1.5433129342826977,-2.3351315943966995,0.01953654728183127,0.8848987717149318
EDA,28.84054269809261,-0.8484619550073987,0.35563948996614353,-2.385736058411768,0.01704497936643062,0.8848987717149318
GAS1RR,48.50049700266659,-0.9065683353474578,0.3675596931519853,-2.466451986541934,0.013645902153604682,0.8848987717149318
AL157911.1,15.86037570535222,-1.1624003039195216,0.47499082029503564,-2.4472058285200307,0.014396859583878444,0.8848987717149318
STMN4,6.4500155231725005,2.0760653003587572,0.8257965400949003,2.514015498442481,0.01193651881555233,0.8848987717149318
ZDHHC13,180.8407458590992,-0.662053710566269,0.2787262894806644,-2.3752826179397637,0.017535517968858393,0.8848987717149318
AC092910.3,10.664927558394186,-1.08958772427454,0.4729171661624062,-2.303971609058405,0.02122423735903093,0.8848987717149318
ZFAT,34.509467129920296,-0.6236378506629455,0.27241696548802125,-2.2892768427463017,0.02206327231063989,0.8848987717149318
KMT2C,699.9470086755435,-0.4696396016454708,0.1845633291978874,-2.5445986680372825,0.010940339837538225,0.8848987717149318
AC110285.6,8.29877468139946,1.4734376733373868,0.6489243620410529,2.2705846159065497,0.023172135633925,0.8848987717149318
TMEM134,6.032363839429536,1.5261206287757225,0.6334510382115518,2.4092163982941464,0.01598681566638756,0.8848987717149318
NUTF2,5.4784810746297214,2.063080848885645,0.8916153347869198,2.3138687373279474,0.020674923450063356,0.8848987717149318
DEFB131A,7.8624803022614325,-1.655935031470915,0.689387423354537,-2.402038353721611,0.016303998912257908,0.8848987717149318
AF131216.1,5.753073642478074,2.3732556166905576,0.9825915370431522,2.415302317616371,0.01572215419221662,0.8848987717149318
AF127577.4,10.50084288699724,-1.248275430369793,0.5327505057972355,-2.3430769502542446,0.019125438079463562,0.8848987717149318
LRAT,9.477915143239096,1.9180522707332741,0.7607992887394017,2.5211015561165553,0.011698808262248794,0.8848987717149318
DNAJA1,34.46441113927556,1.8905476852072625,0.8384017833064517,2.2549423472734094,0.024136947785654686,0.8848987717149318
