,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DPY19L2,123.65170006652276,-0.7219822427413247,0.27145872305184493,-2.659639132699508,0.007822441387973231,0.8430949271621907
CCDC137,5.694296352409081,1.788230751304248,0.6589469196505169,2.713770560233691,0.006652222173012416,0.8430949271621907
PLXNB1,42.237577235356326,1.1468068850240005,0.4289495344744102,2.6735240228880945,0.007505890007376697,0.8430949271621907
PMM2,23.045569331913814,-1.2976683236806865,0.4751687803681091,-2.7309629278998386,0.006314957472389487,0.8430949271621907
CLSPN,4.195151200397516,2.2606473816291888,0.8532855076482384,2.649344634786797,0.008064804390723452,0.8430949271621907
HSP90AB1,122.83698376826194,2.2263528038916864,0.8253511882845094,2.697461196510974,0.006987042729986882,0.8430949271621907
KCNK1,15.145195461254783,2.7984474300740287,1.0495470539973695,2.666338226014441,0.007668250224359381,0.8430949271621907
LCNL1,52.68286143317684,1.5818855543522357,0.6009093915382914,2.632485989780764,0.008476251883992742,0.8430949271621907
NT5C,7.070170575301741,1.9667859209924186,0.7461464273146275,2.6359248654059213,0.008390830855976299,0.8430949271621907
SEMA5A,468.5857066331911,-0.9330669247312038,0.3529959067905085,-2.643279728693705,0.008210717033264318,0.8430949271621907
DUS1L,10.918533685045968,1.3923795501103977,0.5218081343300451,2.668374558587685,0.007621923437077577,0.8430949271621907
ARHGAP33,12.699903280817162,1.2522111812360401,0.46968185385156674,2.6660837989959383,0.007674056167735246,0.8430949271621907
AL139423.1,6.393533520100319,2.69349216381583,0.9880122448969346,2.7261728563868193,0.006407343343599649,0.8430949271621907
BCO2,35.09385794202015,1.2542827753085506,0.4718629629173292,2.658150509533214,0.007857079524789496,0.8430949271621907
AL158801.3,5.120369019185445,2.3135314122284263,0.8684492285524805,2.663980041855284,0.0077222144119977075,0.8430949271621907
TAF6,6.598585890474473,2.1653151487861875,0.8093889612167734,2.6752467015747516,0.007467427781655317,0.8430949271621907
ZNF32,10.24404463948022,1.2251826705412618,0.4560361532521933,2.6865910998589655,0.007218526064836812,0.8430949271621907
NAAA,8.813976391800121,1.485765268748844,0.5644588132891049,2.6321942961458626,0.008483533154812897,0.8430949271621907
STX10,5.083010188205355,2.835131304127116,1.043069359515592,2.7180659447649473,0.006566474930142781,0.8430949271621907
DDIT3,17.63933446174867,2.240960960087479,0.8186335660046968,2.7374408442893263,0.0061919255090663325,0.8430949271621907
SLC22A17,24.766520347185654,1.7416050216634462,0.6474740172658603,2.6898454227057007,0.007148512277611242,0.8430949271621907
GAL3ST2,4.630319687139542,-2.1187537439013764,0.7999502584226731,-2.6486068622305283,0.008082429210328798,0.8430949271621907
PSMA1,22.084230918527957,-1.4318799947083418,0.5231851375218095,-2.7368514355946365,0.006203029938397718,0.8430949271621907
PDE6G,107.20054386224813,1.8190046279453587,0.671555138957747,2.7086452361431594,0.006755853586613933,0.8430949271621907
AHSA1,14.71070816911963,2.061344310825464,0.7634756449501378,2.6999476989997366,0.0069350377336779056,0.8430949271621907
TXNRD3NB,12.9465334242034,-1.5413802023005316,0.5819786915721986,-2.648516560179442,0.008084588823794609,0.8430949271621907
FAM57B,9.914449905770946,2.001848765723194,0.737376250287809,2.714826745425883,0.00663104509914392,0.8430949271621907
AC060809.1,21.891553239212794,-1.0329041709004154,0.39011700125808557,-2.6476779211606005,0.008104669936114972,0.8430949271621907
FOCAD,245.29850990168313,-0.567428102557585,0.20989908216087164,-2.7033377026522425,0.006864696279538468,0.8430949271621907
AC069272.1,5.326146764592271,1.8844364071025008,0.7074324455468822,2.6637687018238654,0.007727067249975645,0.8430949271621907
AP005242.1,30.49685359635565,-1.3793768976997411,0.5230317609889947,-2.6372717692927354,0.008357584419953847,0.8430949271621907
HSPB1,34.492216174396354,4.686360025501639,1.7434465464970523,2.6879860669760784,0.007188439602674505,0.8430949271621907
RSU1,73.57350815646704,0.7766227462880887,0.29450755803526313,2.637021445117205,0.008363754392133568,0.8430949271621907
MT3,12.407042645081848,2.7559300065444448,1.0460792653791884,2.634532676207343,0.008425319376849181,0.8430949271621907
JAK2,216.9311301238785,-0.6219013686611277,0.23667977011859598,-2.627606780036604,0.00859878496854529,0.8475441741537469
ACACA,393.940064737105,-0.6859881499629154,0.26178580157517084,-2.620417707283244,0.008782212317917149,0.8585862042516562
PCBP4,52.24459015893913,1.4885753839966716,0.568922911931606,2.6164799356430612,0.008884158554747792,0.8615484404906629
FER,336.6341747570045,-0.6287673793003059,0.24097959866328092,-2.609214152517857,0.009075042951297943,0.8730191319148621
HSPH1,34.70432610724187,3.2441766083099988,1.2471731362534233,2.6012239311501557,0.009289179664545623,0.8765677218953175
HSBP1L1,10.865366745694883,1.5730540741549224,0.6100143985388722,2.5787163023082016,0.009916819262017915,0.8765677218953175
INTS1,20.101587532352983,1.234828288087479,0.47930479127750997,2.5762903074601913,0.009986675916811518,0.8765677218953175
USP6,8.149901344864452,1.8810419408672212,0.7287037060786538,2.5813536080248616,0.00984137205137845,0.8765677218953175
DPCD,5.439656510403009,1.990925491769109,0.7699002522384873,2.5859525126540577,0.009711030866624108,0.8765677218953175
LSR,5.16088752200224,1.691574730507623,0.6508143276018576,2.5991663962605034,0.00934504623116718,0.8765677218953175
