,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TP53INP2,9.915478399241518,1.20480375341982,0.5657580084004654,2.12953901762008,0.03320969032889933,0.8123237486133381
TRIM52,15.815601771727682,0.7559481377267203,0.3571188839360759,2.116796875580611,0.034277090648284166,0.8123237486133381
SNAPC3,56.59665619288264,-0.5406703914478087,0.26542183785960993,-2.0370230113988828,0.04164773606136614,0.81277558834761
SCN3B,23.721776822320084,-1.3728802224134595,0.6748244278905265,-2.034425793839483,0.04190868339258618,0.81277558834761
NELFB,11.62003039506472,1.0858593681009214,0.5335832321658197,2.0350327795973038,0.04184757480609943,0.81277558834761
RAB5IF,3.5954604734525053,1.8498457881912285,0.9063861942818351,2.040902431945064,0.041260526048483244,0.81277558834761
PLPPR2,11.188822607112497,1.0300137124145565,0.5042685451319481,2.0425896525928278,0.041093076276150754,0.81277558834761
PANX2,9.181222613978061,1.069371300068977,0.5235987233591731,2.0423489446429,0.04111693029264743,0.81277558834761
BAZ1B,88.18534944749447,-0.5065035712924901,0.24857213230525466,-2.0376522766055176,0.04158472002991403,0.81277558834761
AC093879.1,20.043333483241366,1.5932413722277696,0.7802084188960722,2.0420714947963123,0.041144439961859826,0.81277558834761
SDHC,42.833599531111425,-0.4429852182760554,0.21720334554187204,-2.0394953731992933,0.04140061252704851,0.81277558834761
LINC01798,13.059401250777853,-1.1803857987150208,0.5803828231113453,-2.0338055361238117,0.04197120614258547,0.81277558834761
SFXN1,61.04197839689866,-0.4254869919345619,0.20920984788889183,-2.0337808962058594,0.04197369150635059,0.81277558834761
CRELD1,26.68278343892531,1.1771759016157226,0.5774848494833404,2.0384533077688687,0.04150461977859246,0.81277558834761
TRMT112,9.601393228674608,1.793379998871121,0.8803275207558405,2.037173616168835,0.041632646806863204,0.81277558834761
GPR137C,153.26538852465137,-0.6767975779876435,0.330853761015577,-2.045609443610886,0.04079481159550291,0.81277558834761
TXNRD1,92.4297331944998,0.7560490181719097,0.37129385273775245,2.0362551456135005,0.0417247413663905,0.81277558834761
TOP3B,8.034373997795177,1.1213546628269673,0.5491685396236095,2.0419135145569776,0.041160110962537355,0.81277558834761
PRELID1,4.854625451315552,1.9308521669047813,0.9463494307487506,2.0403162977306315,0.04131883258472152,0.81277558834761
ZFC3H1,93.19231067712644,-0.3755915039057836,0.18407203424320898,-2.040459353046132,0.04130459551953628,0.81277558834761
RPS3,30.31684032757872,1.081553694868038,0.5297999106844198,2.041438046810611,0.04120730595189059,0.81277558834761
PPP1R26,5.363695353659612,1.2579806653946608,0.6152762947583788,2.0445784700492555,0.04089643389379375,0.81277558834761
OR3A2,5.51699354579938,1.5558153987346155,0.7600910799031412,2.0468802224765934,0.04066984641094329,0.81277558834761
MCOLN1,7.197941862563407,1.472152928043744,0.724175749196005,2.0328669244698663,0.04206596946777177,0.8132528663182564
POLD3,29.820625472906645,-0.6022467090981054,0.2967188826929566,-2.0296878433628627,0.042388279376618335,0.8142476988879161
SHLD2,99.61239983566392,-0.5937821616956906,0.2922761769281284,-2.031579063119138,0.0421962880349152,0.8142476988879161
FLYWCH2,12.80447088239033,0.7860175198345584,0.3870916473782482,2.0305721530242633,0.04229841495201525,0.8142476988879161
ABTB1,11.870919593629706,1.5498750200358717,0.7635202249886808,2.0299069616117227,0.042365997326224945,0.8142476988879161
TTR,6.320926904190147,1.8913613517572412,0.9382787302267857,2.0157777117041666,0.04382322520316573,0.8152891879560824
TTN,141.72354162193653,-0.6388115024609281,0.31921751096029977,-2.0011793856145172,0.04537306166688227,0.8152891879560824
GOLGA4,491.9043472164762,-0.6291200102460696,0.31262293426571486,-2.0123923784534217,0.04417859127707401,0.8152891879560824
ACER2,8.17648336382215,-1.1913080757412404,0.5956229417986054,-2.000104415293074,0.0454889901083921,0.8152891879560824
NELFCD,21.671538335310427,0.7234383754852386,0.35963424845116526,2.011594776083942,0.04426267052990065,0.8152891879560824
MTF2,67.68025430444696,-0.5394095593511531,0.2659402718716638,-2.0283109269417414,0.04252852445354101,0.8152891879560824
TRHDE,7.582628056645906,1.0404117972451568,0.5162848936084695,2.0151893075418252,0.04388481744174124,0.8152891879560824
ATP1B1,40.274105570153324,1.338056876270174,0.6623685213097766,2.020109400163344,0.04337204102156452,0.8152891879560824
MTRNR2L8,10.514094263161367,2.7202955877797135,1.3431752536890593,2.02527226458972,0.042839414853541355,0.8152891879560824
BZW2,18.86547824389369,0.8759043982594319,0.43281584874267093,2.0237345762728705,0.04299746895325108,0.8152891879560824
MOB3A,10.047840460100355,1.002441197200151,0.4980156889488681,2.0128707176192453,0.04412823184986546,0.8152891879560824
C9orf84,19.418292067521985,1.4850250763422195,0.7407300518566949,2.0048127824973396,0.04498306549715761,0.8152891879560824
MRPL13,9.481812288216526,-0.8355292107320988,0.4177514737092838,-2.0000628682726074,0.04549347568553275,0.8152891879560824
AP4M1,17.230361666275165,1.0995035003435694,0.5477078225656176,2.0074635691584346,0.04470032597120939,0.8152891879560824
TNK2,18.28670739507268,0.7743405667260082,0.3859426052727855,2.006361972342239,0.04481764247264804,0.8152891879560824
PCAT6,5.189661511376681,1.5661774826024448,0.7774020022962835,2.0146301115462566,0.04394341998806773,0.8152891879560824
MEF2A,240.05383103989945,-0.41100424501723504,0.2052097550486642,-2.0028494499190255,0.045193450282224656,0.8152891879560824
CCDC91,381.29795893343703,-0.5165851897849069,0.2567031511755735,-2.0123835154309644,0.044179524831387054,0.8152891879560824
CCNT2,54.92545466928425,-0.49625725214308286,0.24684000219257335,-2.0104409647344172,0.04438453851104964,0.8152891879560824
TERF2IP,188.99832235909523,-0.6285339706304965,0.31217129497973006,-2.01342654093583,0.044069775784499714,0.8152891879560824
COMMD9,5.874203042019081,1.431300435447943,0.7107063796213763,2.0139124629927454,0.04401872481783069,0.8152891879560824
CENPT,8.111419959445213,1.3554868734472392,0.6734006720596369,2.012898011077714,0.04412535986330324,0.8152891879560824
GSTK1,13.093314741871742,1.0942634288611932,0.5467294484742009,2.0014715357203396,0.04534159827871347,0.8152891879560824
PHC3,191.06939220438224,-0.43695934054794766,0.21698402938205033,-2.0137857232735787,0.0440320352765026,0.8152891879560824
PDE6H,11.389750730124229,1.3112005558600717,0.6534189787063066,2.006676571372469,0.044784112230786544,0.8152891879560824
THOP1,15.65843919478983,1.0001268006553836,0.4941990871544127,2.023732594113217,0.04299767301080858,0.8152891879560824
GRM6,8.812455127032916,1.2581165167120345,0.6245491944616927,2.0144394194542548,0.043963419213306966,0.8152891879560824
LINGO2,168.0875424050303,-0.6302923572722037,0.3145371701515716,-2.003872410273398,0.04508372966609224,0.8152891879560824
SNHG10,3.97196560867921,1.9127789476477786,0.9465960173066058,2.020691945324573,0.04331166415883472,0.8152891879560824
CPSF6,143.7964908280247,-0.6645837999374085,0.33047214326497054,-2.0110130716964827,0.04432407602614521,0.8152891879560824
CSGALNACT1,8.58008443152289,-1.36384669728051,0.6818199000675897,-2.0003034483817643,0.045467506895089,0.8152891879560824
GADD45GIP1,6.527342350626358,1.4526385594143854,0.7260104703099052,2.000850702324322,0.04540848152763839,0.8152891879560824
RAB3A,11.551459599372244,1.902504214104615,0.9461509946740138,2.010782871670607,0.04434839609617257,0.8152891879560824
FHIT,644.476226962171,-0.3436153701963564,0.17108234223809382,-2.0084794590791253,0.04459236667669127,0.8152891879560824
FCHSD1,6.150393480633989,1.1879901090534546,0.5887739454029898,2.017735530468027,0.04361881234569538,0.8152891879560824
RUNDC3A,6.5395421000956855,1.6640443591407208,0.8287929245410826,2.0077926703610935,0.044665328050978954,0.8152891879560824
SDF4,13.183550683018046,0.9209310952955561,0.45683119370566433,2.0159111461397066,0.04380926787751798,0.8152891879560824
DHRS7,16.682733965693718,1.0780607617352809,0.5335784396143531,2.0204353881211077,0.043338245819926374,0.8152891879560824
PTGES2,5.862968647458526,1.0956130396067705,0.547660164774202,2.0005344738894553,0.04544258121075184,0.8152891879560824
RSBN1,45.68706932360045,-0.509382371069205,0.25137637556908504,-2.026373281562463,0.042726546807465834,0.8152891879560824
LGALS3BP,12.92191911668935,1.5407874437727338,0.7629104583530542,2.01961767190731,0.043423060656892144,0.8152891879560824
AC084337.2,34.557099873290554,-0.7415180816683598,0.3695708528979599,-2.0064300954845486,0.04481038005262897,0.8152891879560824
HEBP1,5.120926175040629,1.3329660524415865,0.658162635796855,2.0252836912076133,0.042838242188771455,0.8152891879560824
WWC3,14.806722902954531,-0.6576157170157675,0.32773588066753706,-2.006541717911162,0.04479848243968426,0.8152891879560824
SEPSECS,15.193159438433657,-0.927724846250975,0.46194328477122043,-2.0083089782557075,0.044610468411872,0.8152891879560824
ITSN2,139.89589773065666,-0.4036999361026599,0.20210153961105293,-1.9975104439064926,0.04576976106923194,0.8161833104051954
SLC25A39,11.255705141921675,1.552164332867994,0.7765908634193114,1.9986899228170811,0.045641914014040226,0.8161833104051954
NDUFS7,11.175891259007837,1.2254145858638557,0.6134915521671137,1.9974432924710517,0.04577704887149557,0.8161833104051954
TMEM145,10.8570039772349,1.1657565041855702,0.5837261131422946,1.997095003871095,0.04581486357783842,0.8161833104051954
TMEM217,5.189075468444849,1.3300737456408678,0.6777458217218767,1.9624964153400326,0.04970471754573157,0.8214709927468734
TMEM131L,7.668425154976487,1.176930063228304,0.5917194120283423,1.9890002580681452,0.04670117448171145,0.8214709927468734
TMEM134,6.032363839429536,1.205470696801648,0.6068731009883008,1.9863636975152186,0.04699295451435182,0.8214709927468734
CASC6,10.915422677259023,1.4375964799681478,0.7256621390818043,1.9810823833074287,0.04758203555045938,0.8214709927468734
ACADVL,21.653003074393943,1.2577187833318215,0.641716127366812,1.9599301462044998,0.050003955498933036,0.8214709927468734
C2orf76,25.308642191843525,-0.6855460764902911,0.34451435878880216,-1.9898911583843497,0.04660292655239777,0.8214709927468734
C1orf216,4.067611635210669,1.5769588303250246,0.8062574283082882,1.9558999085860747,0.050476946116987054,0.8214709927468734
C1QBP,6.357404446954577,1.6406781268399688,0.839101762460339,1.9552790856133107,0.05055013836584266,0.8214709927468734
RNH1,17.779340425979495,1.0585214923453694,0.5372731644083139,1.9701737634916012,0.04881845935579341,0.8214709927468734
NUDT16L1,7.155592806765033,1.8128810388508358,0.9220489781232866,1.9661439705087302,0.049281982451873214,0.8214709927468734
RNF19B,6.923011590900334,0.9656893788479647,0.48884492206475705,1.9754513860328906,0.0482169462792231,0.8214709927468734
MRPL27,6.51613178553244,1.1416008732686878,0.5727628395522079,1.9931475899539917,0.04624528811902715,0.8214709927468734
NBAS,242.22341508025795,-0.39989921393667477,0.2034086742610579,-1.9659889893556743,0.04929988250113333,0.8214709927468734
ZNF814,35.648002992136234,0.6827789630766766,0.34366996823035867,1.9867286239541782,0.04695247801124637,0.8214709927468734
GPC1,17.900001813936406,0.9790033907015652,0.49913173354113893,1.9614128393639287,0.049830883450626785,0.8214709927468734
COQ9,15.416918339065683,0.7453410698627005,0.3772903084174187,1.9755107757448291,0.04821021296882851,0.8214709927468734
USP30,36.34538758818312,-0.5806755656129471,0.2965359291454425,-1.9581963213912676,0.050206980625509184,0.8214709927468734
MAEA,17.981436928922456,0.7484956556735893,0.3809220373653096,1.964957608781693,0.049419144134137345,0.8214709927468734
CLPTM1L,6.188233910945339,1.36753862983175,0.6884275313457008,1.9864670826841566,0.04698148437459555,0.8214709927468734
CLEC11A,4.074249002833079,1.6574911505874967,0.8453449812870791,1.9607274985697383,0.04991081949131843,0.8214709927468734
UNG,5.9598739779980345,1.1016968656422599,0.56300945682325,1.956799929895537,0.050370995333480245,0.8214709927468734
SV2B,422.4371815153288,-0.4421581685854789,0.22448392602096726,-1.9696651623251655,0.04887675815402613,0.8214709927468734
CLEC2L,5.236060658092076,1.6903734424011538,0.8627243615586372,1.9593435837922186,0.050072562833299125,0.8214709927468734
TAPT1-AS1,176.52399626813883,-0.620716723469748,0.31283245847445595,-1.9841826084694216,0.04723548661555328,0.8214709927468734
GTF2IRD1,202.53602002563568,-0.9514771910878149,0.48210851106766905,-1.9735747642801207,0.04843011556737548,0.8214709927468734
GTF2H1,49.94563209546738,-0.7159531793917812,0.36054684700480044,-1.9857424502238088,0.04706192885122838,0.8214709927468734
CDC25B,21.001259582724384,0.8484806913605263,0.43276106070087506,1.9606216187435523,0.04992317857139682,0.8214709927468734
AC010618.3,13.26509075578127,0.9212133197382569,0.46247804637497075,1.9919071336660812,0.046381248123678324,0.8214709927468734
CDKAL1,380.9673728808122,-0.3482572746591421,0.1760443909776215,-1.9782355616397458,0.04790213869036219,0.8214709927468734
TAF1C,10.415113406217715,0.9669402188811119,0.489922743301061,1.9736585657688488,0.048420579529801354,0.8214709927468734
PEX10,5.521978674784228,1.1655818884286406,0.5903125899358721,1.9745163974145667,0.04832305480760837,0.8214709927468734
RPL24,12.172591196474361,1.3733665755686755,0.6966994268046337,1.9712468860029517,0.04869564337963357,0.8214709927468734
TIMM17B,4.474764715298387,2.0030867823330674,1.0199735892998685,1.963861420870739,0.049546164866989165,0.8214709927468734
GBE1,109.224708274053,-0.8461075699003595,0.4300637416364221,-1.9674003827452693,0.04913707026580891,0.8214709927468734
GLA,9.267922477465996,1.7996279853264183,0.9187454586281273,1.9587884418102341,0.05013756774079392,0.8214709927468734
PPHLN1,95.27452662602948,-0.493825592983639,0.2503343369643288,-1.9726642336484839,0.04853382945318788,0.8214709927468734
CSTF3,46.119613749176104,-0.5640588759744568,0.28606767474222045,-1.9717672627036174,0.04863618113414916,0.8214709927468734
ZCCHC2,67.62277504949436,-0.7155104075772503,0.3625401192258253,-1.9736033879647972,0.04842685821002675,0.8214709927468734
RPS25,19.53345722395364,1.3982073146336764,0.7038750913626319,1.9864423841549597,0.046984224356013606,0.8214709927468734
RSPH14,4.386717295987834,1.4339604579798844,0.7242869163318957,1.979823776525033,0.047723333714925764,0.8214709927468734
DCUN1D4,97.6752545105075,-0.4189193722511715,0.2124314345114795,-1.9720215758771504,0.0486071435403337,0.8214709927468734
LINC01695,6.202263172548043,-1.5548702073406073,0.7880955504573603,-1.9729463089066546,0.048501679781265766,0.8214709927468734
SPATA17,37.64664831726007,0.9668825510800528,0.48822668879613534,1.9803967568102074,0.04765896410262765,0.8214709927468734
SPHK2,16.03553061018045,0.8116315500142888,0.4151010060615435,1.955262787038283,0.05055206109211529,0.8214709927468734
LSM7,6.438440063888397,1.722591861290375,0.8802334748395214,1.9569715428107606,0.05035081417933099,0.8214709927468734
ZDHHC11,9.400424919724397,0.8477721214277946,0.42544426684748626,1.9926749224045952,0.04629705514195343,0.8214709927468734
CPNE8,342.24002256241994,-0.41270492370177314,0.20857935342206513,-1.9786470565313108,0.047855757672996414,0.8214709927468734
SHISA9,12.908359321139047,2.6185672043075194,1.335596939613275,1.9605968886584384,0.049926065620323645,0.8214709927468734
SLC35F5,71.68847268227823,-0.5126452902999183,0.26116373682606725,-1.9629267697350175,0.04965468371880299,0.8214709927468734
DENND6B,8.0923653918294,1.3175616938779797,0.6681332377135045,1.9720044139503654,0.048609102638783035,0.8214709927468734
DNAJB1,46.109052992287324,2.281263219748363,1.1609444978004115,1.9650062721091046,0.04941351161184932,0.8214709927468734
AC133550.2,6.550359965453385,1.4719705353651973,0.7427732093936595,1.9817227072134118,0.0475102843327837,0.8214709927468734
LFNG,13.53116223971995,-0.8952791841815112,0.45546088350092684,-1.9656554857134934,0.04933842008279452,0.8214709927468734
LGI4,54.38220015627908,0.49109219366039136,0.2507034883580881,1.958856643266759,0.0501295778132402,0.8214709927468734
FRA10AC1,53.63262282275426,-0.4095531192423882,0.20706042586127255,-1.9779400990741842,0.04793546459703835,0.8214709927468734
EIF4EBP2,45.3282384639753,-0.6960571691056848,0.35556501067173385,-1.9576087303716774,0.05027594214763283,0.8214709927468734
EPRS,30.20679892384367,0.7490299115215862,0.38089550086314555,1.9664971358921617,0.049241212845629066,0.8214709927468734
ZFAS1,24.32327938714331,0.8145841988451753,0.41629847248315516,1.956731174117234,0.05037908270453731,0.8214709927468734
ZHX2,1152.3524717351504,-1.240014827693577,0.6277424746331253,-1.975355942607333,0.0482277688354897,0.8214709927468734
FAM19A1,29.320354353101195,-0.7129038069627333,0.36184329201521065,-1.9702004229299497,0.0488154051081136,0.8214709927468734
FAM126A,37.89390442907063,-0.9613727393784449,0.4829518027156212,-1.9906183887764355,0.046522857051718394,0.8214709927468734
SCG3,6.925442657724282,1.2703289963400324,0.6419762645798559,1.9787787593228303,0.04784092096962858,0.8214709927468734
WRNIP1,30.804319738530012,-0.6516513579310032,0.3314777397931376,-1.9658977955432948,0.049310417774393656,0.8214709927468734
AEBP2,110.38456178981787,-0.6503429981782768,0.32741959909682994,-1.9862677737441936,0.0470035989509647,0.8214709927468734
NPEPPS,199.6807814922536,-0.38265295185871107,0.192818643975867,-1.984522575040013,0.04719761399840446,0.8214709927468734
DCXR,8.903071930763467,1.6006403654933306,0.8359429116651725,1.9147723404997885,0.055521543350221574,0.8256560929738835
PELP1,11.819199221281751,0.7163511828110907,0.3731488681326949,1.9197463639534615,0.05488994477055233,0.8256560929738835
CES4A,7.625557116372003,0.9702567590181885,0.5158777353560724,1.8807882033297905,0.06000073551293679,0.8256560929738835
TAOK1,185.72115104795486,-0.40981733740948467,0.22497541991423994,-1.8216093898867085,0.06851427516087633,0.8256560929738835
MGAT5,253.66332234554878,-0.8769847020358623,0.47811527838290224,-1.8342536657728858,0.06661634856961683,0.8256560929738835
DMPK,18.12184474594473,0.9165259626073832,0.5018981182222776,1.8261195436510438,0.0678322569575228,0.8256560929738835
DHX40,36.657387403365576,-0.6166154984631961,0.3320420800068741,-1.8570402234874288,0.06330543162789182,0.8256560929738835
ZNF189,18.839931251846203,-0.7653882604532585,0.3933279756291169,-1.9459288631301697,0.05166328528936074,0.8256560929738835
DDR1,84.97094660649262,0.8398731473339854,0.44350731369365687,1.8937075475470282,0.05826383895932692,0.8256560929738835
PDRG1,3.420374525615505,1.7136544725163592,0.9385622014561429,1.8258294121132201,0.06787596148312587,0.8256560929738835
VPS45,123.14157636988747,-0.5604854272833577,0.2967041004097896,-1.8890383601347247,0.05888668882093851,0.8256560929738835
DHRS4,5.870641760462499,1.0857257009772467,0.5892106775689309,1.8426782512783455,0.0653760012685065,0.8256560929738835
SNCB,11.16470486002069,1.6119548973572835,0.838063871890147,1.9234272606474772,0.05442641347763609,0.8256560929738835
UNC50,21.257060835767888,-0.7526197053623863,0.39524908212863286,-1.9041655993459032,0.05688862041925301,0.8256560929738835
CDKL3,83.56744975451976,-0.5237495207917368,0.26931547355474195,-1.9447435153972976,0.05180585539123406,0.8256560929738835
CDK19,720.1022368886659,-0.5902851040223185,0.3207148427312697,-1.840529421698529,0.06569054884886469,0.8256560929738835
MIR4435-2HG,46.58385844185555,0.6917476952894153,0.37146132214796895,1.8622334387047235,0.0625701929894372,0.8256560929738835
PCED1A,12.583887265262566,0.8729042982455855,0.4791009740868925,1.8219631047697902,0.06846058406005244,0.8256560929738835
ZNF532,299.7544179038369,-0.40554004286711326,0.21382091001254896,-1.8966341638117266,0.05787623834601713,0.8256560929738835
GSTP1,26.955905983765554,1.351534714627703,0.7383580462690466,1.83045979041884,0.06718121413657507,0.8256560929738835
TCEA2,7.88794627968023,1.1850523286819337,0.6352729754527363,1.8654222270944067,0.06212224420356923,0.8256560929738835
DBNDD1,3.680311412112056,1.6411902669727083,0.8462825458580427,1.9392935314631965,0.052465606096502186,0.8256560929738835
PPP1R7,16.18081467957876,0.681078904761363,0.35494331431988246,1.918838522332499,0.05500477295185569,0.8256560929738835
DDX50,40.179848992669314,-0.5923514903408862,0.3168375807885813,-1.8695745904465457,0.061542916549123104,0.8256560929738835
DEFB131A,7.8624803022614325,-1.1271041363216725,0.6125774079467413,-1.8399374865938007,0.06577741566596527,0.8256560929738835
CENPV,5.596564411910085,1.2604978238193383,0.6605455484189354,1.9082678353316178,0.05635660797862832,0.8256560929738835
AC012085.2,10.775704299026067,1.5230920868256388,0.814183735248633,1.8706982476879392,0.06138691784437031,0.8256560929738835
MIEN1,6.033736295006407,1.9947810554140664,1.0602661330397016,1.88139656002704,0.05991799446756725,0.8256560929738835
UCHL1,35.69315425087893,1.600522632536897,0.8420992964070908,1.900634093111944,0.05734995667167821,0.8256560929738835
SNCG,45.30033300562012,2.3321701600234865,1.2041151185347256,1.9368332181240933,0.05276573393570248,0.8256560929738835
LAP3,24.482069155762407,-0.5988911770735997,0.325705621674543,-1.8387498932150266,0.06595198122196666,0.8256560929738835
LAMA5,27.633728671875627,0.7896238860221949,0.4133012971165792,1.9105284486911907,0.056065207064185246,0.8256560929738835
AC126283.2,11.84023059264313,1.02644083504098,0.5376893098708211,1.9089850145757605,0.05626402483506148,0.8256560929738835
REXO2,11.653024697152368,1.001316496182216,0.5284519104949209,1.8948110060656882,0.05811744456523522,0.8256560929738835
HCN2,6.848842526380509,1.4859237518916066,0.7918052825983871,1.87662773228211,0.060569133717264065,0.8256560929738835
MELTF-AS1,11.015656990528624,1.1109773991429859,0.5982758964483511,1.8569649984869416,0.06331613397344815,0.8256560929738835
KAT2A,12.56655056200983,1.121972670135623,0.6137117849078145,1.828175208178794,0.06752326052293964,0.8256560929738835
KDM2A,281.6375550807091,-0.38058438861831984,0.2062596234902682,-1.845171547286746,0.06501258803750432,0.8256560929738835
METTL13,4.5076706030552725,1.256394381429699,0.6625256462261189,1.8963709383725407,0.057911011948163796,0.8256560929738835
METTL15,215.0631267796101,-0.5303187430831985,0.28647459555525834,-1.8511894293988271,0.06414230594646533,0.8256560929738835
SLC25A28,16.24602350186317,0.756126967388342,0.39883357638370776,1.8958458168047796,0.057980435417194616,0.8256560929738835
